Step,Accuracy_Train,TRP_Train,FPR_Train,Cost_train,Accuracy_Val,TRP_Val,FPR_Val,Cost_Val
1312,96.07422125991434,97.59114583333333,94.55729166666666,0.47438760345431,78.125,81.25,75.0,0.786830205460078
1344,96.17838793201372,97.59114583333333,94.765625,0.4671956851524221,78.125,81.25,75.0,0.7854635542025163
1376,96.27604418201372,97.78645833333333,94.765625,0.4601819473358414,78.125,81.25,75.0,0.7846301144935698
1408,96.58203377621248,97.99479166666666,95.16927083333333,0.45329373841953524,78.125,75.0,81.25,0.780967960778678
1440,96.67969002621248,98.38541666666666,94.97395833333333,0.44653359854701147,78.125,75.0,81.25,0.7836665167930863
1472,96.67969002621248,98.19010416666666,95.16927083333333,0.43976705156884816,78.125,75.0,81.25,0.7891126846033775
1504,96.6731796041131,98.17708333333333,95.16927083333333,0.43328257073043785,78.125,75.0,81.25,0.7871588678975525
1536,96.97916919831187,98.58072916666666,95.37760416666666,0.42690001483190154,78.125,75.0,81.25,0.7839307608619616
1568,96.97916919831187,98.58072916666666,95.37760416666666,0.42057523763823845,78.125,75.0,81.25,0.7828612026020991
1600,96.98567962041125,98.59375,95.37760416666666,0.4144518048654613,78.125,75.0,81.25,0.7814457654550357
1632,96.98567962041125,98.59375,95.37760416666666,0.4085118590453364,78.125,75.0,81.25,0.7816419080320025
1664,96.98567962041125,98.59375,95.37760416666666,0.40268018485447066,78.125,75.0,81.25,0.7798756305344625
1696,97.18750254251063,98.7890625,95.5859375,0.39698017025105103,78.125,75.0,81.25,0.78677006597077
1728,97.19401296461001,98.59375,95.79427083333333,0.39135352034582704,78.125,75.0,81.25,0.7874269235493413
1760,97.39583588670939,98.80208333333333,95.98958333333333,0.385871643207593,78.125,75.0,81.25,0.7792872464736458
1792,97.49349213670939,98.99739583333333,95.98958333333333,0.38047289018006025,78.125,75.0,81.25,0.7884103824638327
